,id,name
0,12,Adventure
1,14,Fantasy
2,16,Animation
3,18,Drama
4,27,Horror
5,28,Action
6,35,Comedy
7,36,History
8,37,Western
9,53,Thriller
10,80,Crime
11,99,Documentary
12,878,Science Fiction
13,2883,Aniplex
14,7759,GoHands
15,7760,BROSTA TV
16,7761,Mardock Scramble Production Committee
17,9648,Mystery
18,10402,Music
19,10749,Romance
20,10751,Family
21,10752,War
22,10769,Foreign
23,10770,TV Movie
24,11176,Carousel Productions
25,11602,Vision View Entertainment
26,17161,Odyssey Media
27,18012,Pulser Productions
28,18013,Rogue State
29,23822,The Cartel
30,29812,Telescene Film Group Productions
31,33751,Sentai Filmworks
